URL,XPath 1,XPath 2,XPath 3,XPath 4,XPath 5,XPath 6,XPath 7,XPath 8,XPath 9,XPath 10
https://www.powerball.com/draw-result?gc=powerball&date=2014-11-19,6,36,38,48,51,17,$60 Million,None,None,CA
https://www.powerball.com/draw-result?gc=powerball&date=2014-11-22,23,49,53,54,57,35,$70 Million,None,PR,FL
https://www.powerball.com/draw-result?gc=powerball&date=2014-11-26,16,17,22,46,54,35,$80 Million,None,"CO, TN",None
https://www.powerball.com/draw-result?gc=powerball&date=2014-11-29,13,24,30,42,48,27,$90 Million,WA,"NM, RI","CA, VA"
https://www.powerball.com/draw-result?gc=powerball&date=2014-12-03,25,30,32,46,54,26,$40 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2014-12-06,12,15,22,43,49,14,$50 Million,None,None,"MA, PA"
https://www.powerball.com/draw-result?gc=powerball&date=2014-12-10,34,44,48,54,55,10,$60 Million,None,MD,None
https://www.powerball.com/draw-result?gc=powerball&date=2014-12-13,5,13,28,43,55,33,$70 Million,None,None,"NE, NJ"
https://www.powerball.com/draw-result?gc=powerball&date=2014-12-17,22,31,38,47,48,15,$80 Million,None,None,"CA, PA"
https://www.powerball.com/draw-result?gc=powerball&date=2014-12-20,14,15,19,31,56,5,$90 Million,None,"OK, WV","CT, NJ"
https://www.powerball.com/draw-result?gc=powerball&date=2014-12-24,11,12,46,47,50,22,$100 Million,None,OK,"NC, TX, WA"
https://www.powerball.com/draw-result?gc=powerball&date=2014-12-27,7,10,11,14,36,15,$110 Million,None,"ID, TX","CA (2), RI"
https://www.powerball.com/draw-result?gc=powerball&date=2014-12-31,17,27,37,40,53,35,$120 Million,None,None,"DC, FL (2), IA, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2015-01-03,4,18,43,46,55,25,$133 Million,None,None,NC
https://www.powerball.com/draw-result?gc=powerball&date=2015-01-07,14,15,47,49,59,10,$147 Million,None,None,"FL, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2015-01-10,2,9,19,28,29,19,$160 Million,None,None,"AZ, CO, MD, TN"
https://www.powerball.com/draw-result?gc=powerball&date=2015-01-14,2,4,10,41,53,22,$177 Million,None,None,"FL, LA"
https://www.powerball.com/draw-result?gc=powerball&date=2015-01-17,15,16,23,27,36,9,$190 Million,None,"IL, MA","CA, FL, MD, MI, NJ, PA (2), WI"
https://www.powerball.com/draw-result?gc=powerball&date=2015-01-21,11,12,15,28,57,23,$211 Million,None,"IL, OH","CT, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2015-01-24,16,19,20,29,33,10,$235 Million,None,"CO, NY","CA (2), CT, KY, NJ, SC, TX, VA"
https://www.powerball.com/draw-result?gc=powerball&date=2015-01-28,12,24,35,36,49,1,$260 Million,None,None,"GA, NC, NY, SC"
https://www.powerball.com/draw-result?gc=powerball&date=2015-01-31,5,11,16,26,50,34,$286 Million,None,None,"CA, FL (2), KY (2), ND, NY, WI"
https://www.powerball.com/draw-result?gc=powerball&date=2015-02-04,24,36,51,52,56,22,$325 Million,None,PA,"AZ, DE, FL (2), GA, NC, TN"
https://www.powerball.com/draw-result?gc=powerball&date=2015-02-07,5,10,21,34,58,33,$395 Million,None,MA,"CA (2), FL (2), LA, MO, NY (2), OH, TX"
https://www.powerball.com/draw-result?gc=powerball&date=2015-02-11,11,13,25,39,54,19,$564 Million,"NC, PR, TX",PA,"AZ (2), CA (3), FL (2), IL, KS, LA, MD (2), MO (3), NC (2), NH, NJ, NY (4), OH (3), PA, TX (3), WA (2), WI"
https://www.powerball.com/draw-result?gc=powerball&date=2015-02-14,1,24,44,45,51,28,$40 Million,None,FL,CA
https://www.powerball.com/draw-result?gc=powerball&date=2015-02-18,1,9,29,32,49,22,$50 Million,None,CO,NY
https://www.powerball.com/draw-result?gc=powerball&date=2015-02-21,10,14,18,34,51,26,$60 Million,None,None,"CT, IL, KY"
https://www.powerball.com/draw-result?gc=powerball&date=2015-02-25,17,19,21,32,39,8,$70 Million,None,IL,"FL, MD, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2015-02-28,11,17,25,28,46,12,$80 Million,None,"PR, TN, VI","CA, MI, OH, WI"
https://www.powerball.com/draw-result?gc=powerball&date=2015-03-04,8,12,15,35,50,32,$90 Million,None,VA,"CA (2), FL, GA, MT, NY"
https://www.powerball.com/draw-result?gc=powerball&date=2015-03-07,34,36,38,42,50,33,$102 Million,None,None,"MA, NC, TN, TX"
https://www.powerball.com/draw-result?gc=powerball&date=2015-03-11,11,24,31,40,44,27,$119 Million,None,None,"CA, GA, IL, TX"
https://www.powerball.com/draw-result?gc=powerball&date=2015-03-14,8,14,39,46,47,18,$136 Million,NY,None,"FL, OR"
https://www.powerball.com/draw-result?gc=powerball&date=2015-03-18,14,25,30,33,47,8,$40 Million,None,PA,FL
https://www.powerball.com/draw-result?gc=powerball&date=2015-03-21,11,16,30,38,42,7,$50 Million,TN,TN,DE
https://www.powerball.com/draw-result?gc=powerball&date=2015-03-25,7,19,23,50,54,14,$40 Million,NJ,TN,WA
https://www.powerball.com/draw-result?gc=powerball&date=2015-03-28,2,4,6,12,38,17,$40 Million,None,None,"GA, MD"
https://www.powerball.com/draw-result?gc=powerball&date=2015-04-01,2,30,33,39,44,1,$50 Million,None,None,NJ
https://www.powerball.com/draw-result?gc=powerball&date=2015-04-04,33,39,40,41,54,28,$60 Million,None,"FL, TX",OH
https://www.powerball.com/draw-result?gc=powerball&date=2015-04-08,1,19,45,46,58,29,$70 Million,None,None,MN
https://www.powerball.com/draw-result?gc=powerball&date=2015-04-11,1,12,32,42,58,12,$80 Million,FL,PA,"GA, MO, TN"
https://www.powerball.com/draw-result?gc=powerball&date=2015-04-15,1,16,21,29,40,30,$40 Million,None,None,None
https://www.powerball.com/draw-result?gc=powerball&date=2015-04-18,13,22,23,29,31,17,$50 Million,PR,None,"CA, MI"
https://www.powerball.com/draw-result?gc=powerball&date=2015-04-22,10,14,25,39,53,18,$40 Million,None,FL,FL (3)
